user_id,item_id,content,label
296130,25003,安装师傅很给力，热水器也好用，感谢美的。,1
209278,25003,老师按装是快的，装修中。没试。希望是正常的！,1
207684,25003,样子不错 等以后用了再评价,1
266079,25003,东西好，安装师傅也特别用心，特别负责人，中午到了，叫出去吃饭都不去，尽职尽责的装完,1
245959,25003,安装师傅服务棒棒棒！,1
224078,25003,一次很不愉快的的网购，已经几天了，心里还是不舒服。下单付款后半小时，客服打电话来说当天送货，心喜，请假回家等待。2小时后，物流打电话说我所在区域第二天才送，无语，2天工资没有了。京东的人员来电话，我说了情况，她说马上跟商家联系，也没有下文。第二天8点安装师傅联系我安装，上京东一看，已经安排人送货中，马上联系，告知货在惠州，下午4点送到，郁闷。下午2点开始联系安装师傅，告知5点过来。还好4点货到，马上电话安装师傅，说5-6点一定到，5点开始又联系，无人接听，7点终于联系上，说安排别人过来，他太忙了，直到9点无人来。已经2天没有洗澡了，感冒了不敢冷水洗。10点过师傅说好，再晚也来，结果人没有来，找宾馆解决了。直到第三天中午才来安装好。我面对京东，面对安装师傅，都无语了。今天去楼下商场逛，价格一样，付款马上送货安装，还送一盒安琪月饼，又一次无语了。我希望京东蒸蒸日上，但这样的每况愈下的服务还是京东吗？,0
224078,25003,安装完后第二天，就不会出热水，真是呵呵了，这就是美的的品质？第一天好好的，洗完澡就正常关了，没想到第二天提前烧了一个小时了再进来洗澡发现怎么弄都没热水，我就不想多做解释了！,0
232807,25003,本来是要给好评的，可是售后收费太夸张了，就这两根管子收我一百块钱，故意拍出来给大家评评理的，试问这两根管子在哪里能值一百块&hellip;不管实体店还是本京东这管子也值不了五十元一根,0
225935,25003,对于安装师傅很无语，之前自己家在这儿也买过一个，安装费收了100，很合理，这一次安装的时候是我爸爸去的，安装人员可能为了多收钱吧看我爸不太懂就要我们什么都装，都是新房，一样的平整的墙面跟我爸爸说要装支架（支架应该是墙面不平或者里面空心才需要）各种收费一共收了250，价格是之前的两倍不止，投诉无果，安装师傅理直气壮地说装之前跟你讲过了，哭笑不得?,0
254421,25003,安装不及时，服务太差劲，老往后推，,0
244051,25003,就这么点配件就要了我220元，简直坑死人了！我的天，还不如自己安装，什么免费安装都是挂羊头卖狗肉的，我才不信就这么几根管220！,0
293891,25003,热水器还没有安装，就搞一肚子气，安装人员今天推明天，明天推后天，售后安装服务太差，给差评，目前还在等待安装中，郁闷！,0
292773,25003,买了两个，送到一个，还有一个至今未送到。,0
265124,25003,说什么免费安装，结果还是收了两百块,0
279749,25003,漏水     要不是快过年了  一定退货,0
208955,25003,不错，很好！装的也很不错！到底是专业的！不能不服！装的还很快！名牌就是名牌！,1
234393,25003,美的热水器外观很漂亮，大品牌，使用后再来评价，安装师傅速度很快，也很专业！,1
